ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
378,Osiny,Osiny (1/2),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_2_1_2_17,"Some admixture (Chmielewska, 1978)"
379,Osiny,Osiny (1/3),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_3_1_3_7,"Some admixture (Chmielewska, 1978)"
380,Oster-Bunsbüll,Oster-Bunsbüll (A),Germany,9.58,54.66,Whole,Federmesser,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Ost.Bun.A.1,
381,Oudehaske,Oudehaske,The Netherlands,5.87,52.96,Whole,Epi-Ahrensburgian,Unspecified,Tanged Point (Unspecified),Johansen and Stapert 1997,Excavation,Relative,,,,,,,,,Preboreal,Stratigraphy,Y,N,N,N,2D,N,X,,,Oudehaske_1,
382,Paradiset,Paradiset,Denmark,11.7,55.06,Whole,Ahrensburgian,Unspecified,Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Paradiset_1,"""Possible 'dead ice hole' nearby""."
383,Pinnberg,Pinnberg (1B),Germany,9.79,53.66,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Preboreal,Typology,Y,N,N,N,2D,Y,X,,,Pinn.1b.2,
384,Pinnberg,Pinnberg (1B),Germany,9.79,53.66,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Preboreal,Typology,Y,N,N,N,2D,Y ,X,,,Pinn.1b.3,
385,Pinnberg,Pinnberg (1B),Germany,9.79,53.66,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Preboreal,Typology,Y,N,N,N,2D,Y ,X,,,Pinn.1b.4,
386,Pis de la Vache ,Pis de la Vache ,France,1.45,44.93,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Pis.2,
387,Pis de la Vache ,Pis de la Vache ,France,1.45,44.93,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Pis.3,
388,Pis de la Vache ,Pis de la Vache ,France,1.45,44.93,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Pis.4,
389,Płaska,Płaska,Poland,23.17,53.87,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Pla.1,
390,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.2,According to Sinitsyna Podol is an analogy to Lyngby
391,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.3,According to Sinitsyna Podol is an analogy to Lyngby
392,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.6,According to Sinitsyna Podol is an analogy to Lyngby
393,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.7,According to Sinitsyna Podol is an analogy to Lyngby
394,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,Y,N,N,2D,Y,X,,,Pod.III.8,According to Sinitsyna Podol is an analogy to Lyngby
395,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.10,According to Sinitsyna Podol is an analogy to Lyngby
396,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.11,According to Sinitsyna Podol is an analogy to Lyngby
397,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.12,According to Sinitsyna Podol is an analogy to Lyngby
398,Podol,Podol (3),Russia,34.85,56.3,Whole,Tanged Point Technocomplex,Podolian ,Lyngby Point,Zaliznyak 1999,Excavation,Combined,,,9180,75,LE-5029,,,,Allerod-beginning of Preboreal,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Pod.III.14,According to Sinitsyna Podol is an analogy to Lyngby
399,Raast,Raast,Denmark,8.76,56.51,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Raa.1,
400,Ramsgård,Ramsgård (1),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram1.1,
401,Ramsgård,Ramsgård (1),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram1.2,
402,Ramsgård,Ramsgård (1),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram1.3,
403,Ramsgård,Ramsgård (1),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram1.4,
404,Ramsgård,Ramsgård (1),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram1.5,
405,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.1,
406,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.2,
407,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.3,
408,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.4,
409,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.5,
410,Ramsgård,Ramsgård (2),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram2.7,
411,Ramsgård,Ramsgård (5),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram5.1,
412,Ramsgård,Ramsgård (5),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram5.2,
413,Ramsgård,Ramsgård (5),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram5.3,
414,Ramsgård,Ramsgård (7),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram7.1,
415,Ramsgård,Ramsgård (8),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Ram8.1,Remade into scraper
416,Ramsgård,Ramsgård (8),Denmark,8.56,56.94,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,Y,X,,,Ram8.2,Remade into burin
417,Reddevitz,Reddevitz,Germany,13.62,54.34,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Redd.1,
418,Rendsburg,Rendsburg,Germany,9.66,54.3,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ren.1,
419,Rissen,Rissen (Botterbargmoor),Germany,9.76,53.59,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ris.Bot,
420,Rolykkevej,Rolykkevej (HBV 189),Denmark,9.27,55.48,Whole,Bromme,Bromme (Western Europe),Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,HBV189.1,
421,Rosteslav,Rosteslav,Russia,38.63,54.88,Whole,Tanged Point Technocomplex,Yenevo ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Ros.4,"According to Sorokin the site is the remain of converging different Eastern Europian tanged point cultures such as Grensk, Podol, Krasnoselyan, thus its hard to attribute the material to one of the cultures"
422,Rosteslav,Rosteslav,Russia,38.63,54.88,Whole,Tanged Point Technocomplex,Yenevo ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Ros.5,"According to Sorokin the site is the remain of converging different Eastern Europian tanged point cultures such as Grensk, Podol, Krasnoselyan, thus its hard to attribute the material to one of the cultures"
423,Rosteslav,Rosteslav,Russia,38.63,54.88,Whole,Tanged Point Technocomplex,Yenevo ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Ros.6,"According to Sorokin the site is the remain of converging different Eastern Europian tanged point cultures such as Grensk, Podol, Krasnoselyan, thus its hard to attribute the material to one of the cultures"
424,Rosteslav,Rosteslav,Russia,38.63,54.88,Whole,Tanged Point Technocomplex,Yenevo ,Tanged Point (Unspecified),Sorokin 2009,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Ros.7,"According to Sorokin the site is the remain of converging different Eastern Europian tanged point cultures such as Grensk, Podol, Krasnoselyan, thus its hard to attribute the material to one of the cultures"
425,Ruda Komorska,Ruda Komorska (1-3),Poland,17.67,52.12,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Kowaleńkowa 1923; Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Ruda_Komorska_M_17,
426,Ruda Komorska,Ruda Komorska (1-3),Poland,17.67,52.12,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Kowaleńkowa 1923; Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Ruda_Komorska_M_18,
427,Rudnia,Rudnia,Lithuania,24.67,54.07,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Rud.2,
428,Rudnya,Rudnya Ozerianska,Ukraine,28.07,51.28,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Rud.Oz.1,
429,Rundebakke,Rundebakke,Denmark,11.78,55.05,Whole,Bromme,Bromme (Western Europe),Bromme Point,Fischer 1988,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,Rundebakke_1,
430,Rundebakke Sydvest,Rundebakke Sydvest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Rundebakke_Sydvest_1,"""Ca. 250 m south-west of Rundebakke"""
431,Rundebakke Sydvest,Rundebakke Sydvest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Rundebakke_Sydvest_3,"""Ca. 250 m south-west of Rundebakke"""
432,Rundebakke Sydvest,Rundebakke Sydvest,Denmark,11.7,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Rundebakke_Sydvest_5,"""Ca. 250 m south-west of Rundebakke"""
433,Ruszków,Ruszków (4),Poland,19.39,52.41,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Poznaniu 1955; Chmielewska 1978,Mixed,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Ruszkow_4_15,
434,Saal,Saal,Germany,12.5,54.31,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Saa.1,
435,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.1,
436,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.2,
437,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.6,
438,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.7,
439,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.8,
440,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.9,
441,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.10,
442,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,Y,N,N,2D,Y,X,,,Sas.78.11,
443,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.2,
444,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.3,
445,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.4,
446,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.5,
447,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.6,
448,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.7,
449,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.8,
450,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.9,
451,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.10,
452,Sassenholz,Sassenholz (82),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Bromme Point,Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.82.11,
453,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,Y,Y,N,2D,Y,X,,,Sas.78.15,
454,Sassenholz,Sassenholz (78),Germany,9.31,53.35,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Breest  2008,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y,X,,,Sas.78.16,
455,Satrup,Satrup (A),Germany,9.6,54.69,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Sat.A.1,
456,Schackendorf,Schackendorf,Germany,10.27,53.96,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Scha.1,
457,Schackendorf,Schackendorf,Germany,10.27,53.96,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Scha.2,
458,Segebro,Segebro,Sweden,13.12,55.56,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Seg.1,
459,Segebro,Segebro,Sweden,13.12,55.56,Whole,Lyngby,Segebro-Bromme,Tanged Point (Unspecified),Taute 1968,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,Y,Y,N,2D,Y,X,,,Seg.2,
460,Segebro,Segebro,Sweden,13.12,55.56,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Seg.3,
461,Segebro,Segebro,Sweden,13.12,55.56,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Seg.4,
462,Segebro,Segebro,Sweden,13.12,55.56,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Seg.5,
463,Siggelkow,Siggelkow,Germany,11.94,53.38,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Sigg.2,
464,Siggelkow,Siggelkow,Germany,11.94,53.38,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Sigg.3,
465,Siggelkow,Siggelkow,Germany,11.94,53.38,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Sigg.4,
466,Skoven Fejø,Skoven Fejø,Denmark,11.43,54.95,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Skoven_Fejo_1,
467,Skoven Fejø,Skoven Fejø,Denmark,11.43,54.95,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Skoven_Fejo_2,
468,Słupca,Słupca,Poland,17.87,52.29,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Malinowski 1957-1958; Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Slupca_21,"Some admixture with Mesolithic and Neolithic material (Chmielewska, 1978)"
469,Sølystgård,Sølystgård M2 (MKH 411),Denmark,9.27,55.48,Whole,Federmesser,Unspecified,Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,MKH411.1,
470,Sølystgård,Sølystgård M2 (MKH 411),Denmark,9.27,55.48,Whole,Federmesser,Unspecified,Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,MKH411.2,
471,Sølystgård,Sølystgård SV (MKH 1124),Denmark,9.27,55.48,Whole,Federmesser,Unspecified,Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,MKH1124.2,
472,Sølystgård,Sølystgård SV (MKH 1124),Denmark,9.27,55.48,Whole,Federmesser,Unspecified,Bromme Point,Riede et al. 2011,Surface Collection,Relative,,,,,,,,,Early Allerod,Typology,Y,N,N,N,2D,Y,X,,,MKH1124.3,
473,Stańkowicze,Stańkowicze (1),Poland,22.62,51.75,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Sta1.1,
474,Stańkowicze,Stańkowicze (1),Poland,22.62,51.75,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Sta1.2,
475,Stańkowicze,Stańkowicze (2),Poland,22.62,51.75,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Sta2.1,
476,Stedar,Stedar,Germany,13.48,54.44,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Sted.1,
477,Stellmoor,Stellmoor (Ahrensburg),Germany,10.23,53.67,Whole,Ahrensburgian,Eggstedt-Stellmoor,Lyngby Point,Taute 1968,Excavation,Absolute,,,9810,100,K-4580,10140,105,K-4326,Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y ,X,,,Ahr.Ste.1,
478,Stellmoor,Stellmoor (Ahrensburg),Germany,10.23,53.67,Whole,Ahrensburgian,Eggstedt-Stellmoor,Lyngby Point,Taute 1968,Excavation,Absolute,,,9810,100,K-4580,10140,105,K-4326,Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y ,X,,,Ahr.Ste.3,
