ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
61,Brunsmark,Brunsmark (6),Germany,10.74,53.61,Whole,Unspecified,Unspecified,Lyngby Point,Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Brun.6.1,
62,Brunsmark,Brunsmark (5),Germany,10.74,53.61,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Brun.5.1,
63,Burdeniszki,Burdeniszki (1D),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Bur1d.1,
64,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Bur4.1,
65,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Bur4.2,
66,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,N,X,,,Bur4.3,
67,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,N,X,,,Bur4.4,
68,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,N,X,,,Bur4.5,
69,Burdeniszki,Burdeniszki (4),Poland,23.13,54.07,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Bur4.6,
70,Buschau,Buschau,Germany,9.68,54.62,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bus.1,
